================================================================================
                    SCHOOL MANAGEMENT SYSTEM - LOGIN RECORDS
================================================================================

Generated: 12/17/2025, 9:00:39 AM

--------------------------------------------------------------------------------
                              ADMIN ACCOUNTS (2)
--------------------------------------------------------------------------------

Admin 1:
  Name:     John Administrator
  Email:    admin1@school.edu
  Password: admin123

Admin 2:
  Name:     Sarah Principal
  Email:    admin2@school.edu
  Password: admin456

--------------------------------------------------------------------------------
                             TEACHER ACCOUNTS (5)
--------------------------------------------------------------------------------

Teacher 1:
  Name:     James Rodriguez
  Email:    teacher1@school.edu
  Password: teacher1pass

Teacher 2:
  Name:     Karen Ramirez
  Email:    teacher2@school.edu
  Password: teacher2pass

Teacher 3:
  Name:     Ava Johnson
  Email:    teacher3@school.edu
  Password: teacher3pass

Teacher 4:
  Name:     Aiden Lewis
  Email:    teacher4@school.edu
  Password: teacher4pass

Teacher 5:
  Name:     Elizabeth Martin
  Email:    teacher5@school.edu
  Password: teacher5pass

--------------------------------------------------------------------------------
                            STUDENT ACCOUNTS (1000)
--------------------------------------------------------------------------------

Format: Roll Number | Name | Class | Password


Class 1 (84 students):
------------------------------------------------------------
  Roll:   1 | Oliver Jackson            | Password: student1
  Roll:   2 | Amelia Ramirez            | Password: student13
  Roll:   3 | Patricia Ramirez          | Password: student25
  Roll:   4 | Mary Lee                  | Password: student37
  Roll:   5 | Charles Lopez             | Password: student49
  Roll:   6 | Linda Robinson            | Password: student61
  Roll:   7 | Mia Davis                 | Password: student73
  Roll:   8 | Aiden Thompson            | Password: student85
  Roll:   9 | Olivia Miller             | Password: student97
  Roll:  10 | Olivia Jones              | Password: student109
  Roll:  11 | Mia Martinez              | Password: student121
  Roll:  12 | Charles Martin            | Password: student133
  Roll:  13 | Noah Garcia               | Password: student145
  Roll:  14 | Evelyn Rodriguez          | Password: student157
  Roll:  15 | Elizabeth Williams        | Password: student169
  Roll:  16 | Barbara Anderson          | Password: student181
  Roll:  17 | Evelyn Lee                | Password: student193
  Roll:  18 | Susan Garcia              | Password: student205
  Roll:  19 | Sarah Taylor              | Password: student217
  Roll:  20 | Evelyn Martinez           | Password: student229
  Roll:  21 | Isabella Anderson         | Password: student241
  Roll:  22 | Joseph Moore              | Password: student253
  Roll:  23 | Ethan Wilson              | Password: student265
  Roll:  24 | Joseph Harris             | Password: student277
  Roll:  25 | Susan Williams            | Password: student289
  Roll:  26 | Mary Clark                | Password: student301
  Roll:  27 | Isabella Martin           | Password: student313
  Roll:  28 | Emma Hernandez            | Password: student325
  Roll:  29 | Jennifer Martinez         | Password: student337
  Roll:  30 | Elijah Davis              | Password: student349
  Roll:  31 | Sebastian Rodriguez       | Password: student361
  Roll:  32 | Charlotte Robinson        | Password: student373
  Roll:  33 | Ethan Perez               | Password: student385
  Roll:  34 | Charlotte Jackson         | Password: student397
  Roll:  35 | Sebastian Martinez        | Password: student409
  Roll:  36 | Aiden Thompson            | Password: student421
  Roll:  37 | Noah Lewis                | Password: student433
  Roll:  38 | Lucas Wilson              | Password: student445
  Roll:  39 | Olivia Smith              | Password: student457
  Roll:  40 | Sarah Wilson              | Password: student469
  Roll:  41 | Sophia Lee                | Password: student481
  Roll:  42 | Linda Ramirez             | Password: student493
  Roll:  43 | Elijah Jones              | Password: student505
  Roll:  44 | Mary Moore                | Password: student517
  Roll:  45 | Richard Martin            | Password: student529
  Roll:  46 | Aiden Smith               | Password: student541
  Roll:  47 | Ava Perez                 | Password: student553
  Roll:  48 | Charlotte Gonzalez        | Password: student565
  Roll:  49 | Susan Clark               | Password: student577
  Roll:  50 | James White               | Password: student589
  Roll:  51 | Amelia Lewis              | Password: student601
  Roll:  52 | David Martin              | Password: student613
  Roll:  53 | Michael Brown             | Password: student625
  Roll:  54 | Oliver Davis              | Password: student637
  Roll:  55 | Robert Smith              | Password: student649
  Roll:  56 | Elijah Lopez              | Password: student661
  Roll:  57 | Liam Martinez             | Password: student673
  Roll:  58 | Linda Gonzalez            | Password: student685
  Roll:  59 | Elijah Anderson           | Password: student697
  Roll:  60 | Jessica Jackson           | Password: student709
  Roll:  61 | Ava Thompson              | Password: student721
  Roll:  62 | Mary Miller               | Password: student733
  Roll:  63 | Sarah Smith               | Password: student745
  Roll:  64 | Mason Rodriguez           | Password: student757
  Roll:  65 | David Clark               | Password: student769
  Roll:  66 | Jennifer Martinez         | Password: student781
  Roll:  67 | Alexander Miller          | Password: student793
  Roll:  68 | Ava Brown                 | Password: student805
  Roll:  69 | Ava Harris                | Password: student817
  Roll:  70 | Emma Lewis                | Password: student829
  Roll:  71 | Jennifer Harris           | Password: student841
  Roll:  72 | Elizabeth Sanchez         | Password: student853
  Roll:  73 | Thomas Martin             | Password: student865
  Roll:  74 | Richard Jones             | Password: student877
  Roll:  75 | Evelyn Moore              | Password: student889
  Roll:  76 | Joseph Garcia             | Password: student901
  Roll:  77 | Mason Wilson              | Password: student913
  Roll:  78 | Charlotte Rodriguez       | Password: student925
  Roll:  79 | Mason Hernandez           | Password: student937
  Roll:  80 | Alexander Robinson        | Password: student949
  Roll:  81 | Sophia Taylor             | Password: student961
  Roll:  82 | Richard Williams          | Password: student973
  Roll:  83 | Michael Brown             | Password: student985
  Roll:  84 | William Taylor            | Password: student997

Class 2 (84 students):
